cod_cliente_maestro,canal,subcanal,sucursal,dia_visita,id_geografia_fk,fecha_inicio_validez,fecha_fin_validez
10127,FS,RESTAURANTES,N.A.,N.A.,,2025-08-27,9999-12-31
10139,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10142,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10144,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
1015,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10150,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10151,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10156,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10162,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10163,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10165,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10166,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10168,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10169,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10173,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10174,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10176,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10177,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1018,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10182,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10189,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10190,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10194,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10196,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10198,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10199,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1020,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10203,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10205,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10208,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1021,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10213,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10215,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10216,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10224,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10229,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10233,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10237,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10238,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10245,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10248,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1025,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10250,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10253,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10254,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10257,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10260,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10263,PS,PET SHOP,N.A.,N.A.,,2025-08-27,9999-12-31
10265,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10267,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10269,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10271,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10278,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10279,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
1028,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10281,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10283,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10289,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10292,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10298,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10304,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10305,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10307,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10308,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1031,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10310,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10311,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10322,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10323,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10324,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10326,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10329,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10330,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10332,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10334,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10335,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10339,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1034,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10347,CHARCUTERIA,CHARCUTERIA,N.A.,N.A.,,2025-08-27,9999-12-31
10348,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10349,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
1035,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10355,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10356,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10357,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10359,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1036,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10360,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10361,SSM,SSM,LA FLORESTA,LA FLORESTA,,2025-08-27,9999-12-31
10364,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10365,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10373,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10374,SSM,SSM,PLUS,PLUS,,2025-08-27,9999-12-31
10375,PS,PET SHOP,N.A.,N.A.,,2025-08-27,9999-12-31
10376,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10384,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10385,PS,PET SHOP,N.A.,N.A.,,2025-08-27,9999-12-31
10388,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10394,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10395,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10402,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10404,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10405,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10406,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10412,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10414,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10415,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10418,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10419,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10420,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10421,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10430,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10432,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10433,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10434,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10436,PS,AGROPECUARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10437,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10439,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1044,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10446,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10448,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10450,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10454,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1046,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10462,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10465,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10473,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10474,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10476,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10477,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10479,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10485,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10486,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10494,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10502,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10504,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10508,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10513,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10519,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10522,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10523,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10525,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10526,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10528,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10530,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10531,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10535,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10536,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10538,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10545,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10549,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10552,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10553,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10554,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10558,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10561,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10562,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10563,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10566,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10569,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10570,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10573,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10574,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10583,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10584,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10587,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10588,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10589,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1059,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10592,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10602,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10603,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10605,PS,PET SHOP,N.A.,N.A.,,2025-08-27,9999-12-31
10607,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10609,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10610,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10612,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10614,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10616,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10618,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10619,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10624,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10625,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10630,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10632,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10636,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10637,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10638,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1064,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10645,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10648,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10654,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10655,PS,PET SHOP,N.A.,N.A.,,2025-08-27,9999-12-31
10656,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10658,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10659,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10660,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10664,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10665,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10667,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
1067,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10670,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10671,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10673,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10675,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10681,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10683,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10686,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10687,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10688,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10690,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10691,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10694,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10696,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10698,SSM,SSM,COLSAG,COLSAG,,2025-08-27,9999-12-31
10700,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10702,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10704,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10707,SSM,SSM,EL CONTENTO,EL CONTENTO,,2025-08-27,9999-12-31
10709,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10711,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10713,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10721,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10735,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10738,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10741,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10742,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10744,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10746,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10747,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
1075,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10753,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10756,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
1076,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10760,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10761,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10764,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10767,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
1077,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10775,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10777,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10781,SSM,SSM,DIAGONAL,DIAGONAL,,2025-08-27,9999-12-31
10783,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10785,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10786,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10787,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10789,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10790,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10792,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10793,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10798,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10799,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
1080,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10801,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10803,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10805,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10807,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10808,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10809,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10812,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10814,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
1082,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10820,PS,VETERINARIA,N.A.,N.A.,,2025-08-27,9999-12-31
10821,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10822,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10826,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10830,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10833,SSM,SSM,N.A.,N.A.,,2025-08-27,9999-12-31
10834,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10835,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10836,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10839,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10840,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10841,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10843,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10844,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10845,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10848,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
10849,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10850,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10851,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10852,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10853,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10854,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10855,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10856,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10857,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10858,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10859,MM,MM,N.A.,N.A.,,2025-08-27,9999-12-31
10860,SSM,SSM,TRAPICHES,TRAPICHES,,2025-08-27,9999-12-31
10864,MAY,MAY,N.A.,N.A.,,2025-08-27,9999-12-31
1087,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10873,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
10874,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1090,TAT,TAT,N.A.,N.A.,,2025-08-27,9999-12-31
1090228089,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1090369514,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1090373449,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1090376577,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
1090376736,B2C,B2C,N.A.,N.A.,,2025-08-27,9999-12-31
