codigo_erp,referencia,categoria_gestion,subcategoria_1_gestion,subcategoria_2_gestion,descripcion_guia,clasificacion_py,equivalencia_py,peso_neto
0101011A00,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B01,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL FRESA&CHOCO X180ML,N.A.,N.A.,180
0101011B02,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(7%) SUAVITEL FRESA& CHOCO X180ML,N.A.,N.A.,180
0101011B03,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONIF) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B04,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,P.E. SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B05,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(14%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B06,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B07,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONIF) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B08,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(13%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B09,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(EX) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B10,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(15%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B11,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(16.5%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B12,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B13,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B14,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B15,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA MM) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101011B16,61020298,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(PE) SUAVITEL FRESA&CHOCO X180MLX56U,N.A.,N.A.,180
0101012A00,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B01,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL VAINILLAX180ML,N.A.,N.A.,180
0101012B02,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,P.E. SUAVITEL VAINILLAX180MLX56,N.A.,N.A.,180
0101012B03,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(14%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B04,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B05,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(13%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B06,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(EX) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B07,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(15%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B08,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(16.5%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B09,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B10,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B12,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONF) SUAVITEL VAINILLAX180MLX56U,N.A.,N.A.,180
0101012B13,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL VAINILLA  X180MLX56,N.A.,N.A.,180
0101012B14,61020297,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA MM) SUAVITEL VAINILLA  X180MLX56,N.A.,N.A.,180
0101013A00,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B01,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(10%) SUAVITEL COMPLETE FLOR PRIMAVERAX160ML,N.A.,N.A.,160
0101013B02,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(7%) SUAVITEL  COMPLETE FLOR/PRIMAVERAX160ML,N.A.,N.A.,160
0101013B03,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(14%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B04,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(11%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B05,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(13%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B06,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(EX) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B07,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(15%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B08,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(5.3%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B09,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(9%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101013B10,61020303,SUAVIZANTES,SUAVIZANTES,COMPLETE,(12%) SUAV COMPL FLOR PRIMAVERA X160MLX56U,N.A.,N.A.,160
0101014A00,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B01,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(10%) SUAVITEL NATURALSX160ML,N.A.,N.A.,160
0101014B02,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(7%) SUAVITEL  NATURALSX160ML,N.A.,N.A.,160
0101014B03,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(14%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B04,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(11%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B05,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(13%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B06,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(15%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B07,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(30%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B08,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(40%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B09,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(16.5%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B10,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(9%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101014B11,61020304,SUAVIZANTES,SUAVIZANTES,NATURALS,(12%) SUAVITEL NATURALSX160MLX56U,N.A.,N.A.,160
0101015A00,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B01,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(10%) SUAVITEL COMPLETE LAVANDA X160ML,N.A.,N.A.,160
0101015B02,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(7%) SUAVITEL  COMPLETE LAVANDAX160ML,N.A.,N.A.,160
0101015B03,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(14%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B04,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(11%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B05,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(13%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B06,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(15%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B07,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(16.5%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B08,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(9%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101015B09,61020302,SUAVIZANTES,SUAVIZANTES,COMPLETE,(12%) SUAVITEL COMPLETE LAVANDA X160MLX56U,N.A.,N.A.,160
0101016A00,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B01,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL ORQUIDEA LAVANDA X180ML,N.A.,N.A.,180
0101016B02,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,P.E. SUAVITEL  ORQUIDEA LAVANDAX180MLX56,N.A.,N.A.,180
0101016B03,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(14%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B04,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B05,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(13%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B06,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(15%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B07,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(16.5%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B08,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B09,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL ORQUIDEA LAVANDA X180MLX56U,N.A.,N.A.,180
0101016B11,61020299,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL  ORQUIDEA LAVANDA X180MLX56,N.A.,N.A.,180
0101017A00,61002715,SUAVIZANTES,SUAVIZANTES,COMPLETE,SUAVITEL COMPLETE LAVANDAX180MLX48U,N.A.,N.A.,180
0101017B02,61002715,SUAVIZANTES,SUAVIZANTES,COMPLETE,(16%) SUAVITEL COMPLETE LAVANDAX180MLX48U,N.A.,N.A.,180
0101017B03,61002715,SUAVIZANTES,SUAVIZANTES,COMPLETE,(15%) SUAVITEL COMPLETE LAVANDAX180MLX48U,N.A.,N.A.,180
0101017B04,61002715,SUAVIZANTES,SUAVIZANTES,COMPLETE,(5.3%) SUAVITEL COMPLETE LAVANDAX180MLX48U,N.A.,N.A.,180
0101018A00,61002719,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL VAINILLA X200MLX48U,N.A.,N.A.,200
0101019A00,61002720,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL PRIMAVERAL X200MLX48U,N.A.,N.A.,200
0101020A00,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B01,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(13%)SUAVITEL COMPLT FLOR PRIMAV.X180MLX48U,N.A.,N.A.,180
0101020B02,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(10%)SUAVITEL COMPLT FLOR PRIMAV.X180MLX48U,N.A.,N.A.,180
0101020B03,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(16%) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B04,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(15%) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B05,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(5.3%) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B06,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(BONIF) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B07,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(9%) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101020B08,61002721,SUAVIZANTES,SUAVIZANTES,COMPLETE,(12%) SUAVITEL COMPLETE FLOR PRIMAVERAX180MLX48U,N.A.,N.A.,180
0101022A00,61012621,SUAVIZANTES,SUAVIZANTES,NATURALS,SUAVITEL NATURALSX180MLX48U,N.A.,N.A.,180
0101022B01,61012621,SUAVIZANTES,SUAVIZANTES,NATURALS,(13%) SUAVITEL NATURALSX180MLX48U,N.A.,N.A.,180
0101022B02,61012621,SUAVIZANTES,SUAVIZANTES,NATURALS,(16%) SUAVITEL NATURALSX180MLX48U,N.A.,N.A.,180
0101022B03,61012621,SUAVIZANTES,SUAVIZANTES,NATURALS,(15%) SUAVITEL NATURALSX180MLX48U,N.A.,N.A.,180
0101022B06,61012621,SUAVIZANTES,SUAVIZANTES,NATURALS,(12%) SUAVITEL NATURALSX180MLX48U,N.A.,N.A.,180
0101023A00,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B01,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONIF) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B02,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(16%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B03,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(13%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B04,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(15%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B05,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(5.3%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B06,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(20%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B07,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B08,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA SSM) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B09,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B10,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA MM) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101023B11,61037182,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(PE) SUAVITEL MANZANA X180MLX56U,N.A.,N.A.,180
0101030A00,61005265,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL FRESCA PRIMAVERAX360X24U,N.A.,N.A.,360
0101030B01,61005265,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL  FRESCA PRIMAVERAX360CC,N.A.,N.A.,360
0101030B02,61005265,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL FRESCA PRIMAVERAX360CC,N.A.,N.A.,360
0101030B03,61005265,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONIF) SUAVITEL FRESCA PRIMAVERAX360X24U,N.A.,N.A.,360
0101030B04,61005265,SUAVIZANTES,SUAVIZANTES,ESTANDAR,EXP SUAVITEL FRESCA PRIMAVERAX360X24U,N.A.,N.A.,360
0101031A00,61005266,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL ORQUIDEA LAVANDAX360X24U,N.A.,N.A.,360
0101031B01,61005266,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(12%) SUAVITEL  ORQUIDEA LAVANDAX360CC,N.A.,N.A.,360
0101031B02,61005266,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(9%) SUAVITEL ORQUIDEA LAVANDAX360CC,N.A.,N.A.,360
0101031B03,61005266,SUAVIZANTES,SUAVIZANTES,ESTANDAR,EXP SUAVITEL ORQUIDEA LAVANDAX360X24U,N.A.,N.A.,360
0101040A00,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B01,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL PRIMAVERALX430ML,N.A.,N.A.,430
0101040B02,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(7%) SUAVITEL PRIMAVERALX430MLX24,N.A.,N.A.,430
0101040B03,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,EXP SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B04,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(3%) SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B05,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B06,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONF) SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B07,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONF) SUAVITEL PRIMAVERALX430X24U,N.A.,N.A.,430
0101040B08,CO01455B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL PRIMAVERALX430ML,N.A.,N.A.,430
0101041A00,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,SUAVITEL FRES&CHOCX430MLX24U,N.A.,N.A.,430
0101041B01,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(10%) SUAVITEL FRESA & CHOCOLATE X430ML,N.A.,N.A.,430
0101041B02,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(7%) SUAVITEL FRESA & CHOCOLATE X430MLX24,N.A.,N.A.,430
0101041B03,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,EXP SUAVITEL FRES&CHOCX430MLX24U,N.A.,N.A.,430
0101041B04,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(3%) SUAVITEL FRES&CHOCX430MLX24U,N.A.,N.A.,430
0101041B05,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(11%) SUAVITEL FRES&CHOCX430MLX24U,N.A.,N.A.,430
0101041B06,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(BONIF) SUAVITEL FRES&CHOCX430MLX24U,N.A.,N.A.,430
0101041B07,CO01761B,SUAVIZANTES,SUAVIZANTES,DULCE PLACER,(P.E CAJA TAT) SUAVITEL FRESA & CHOCOLATE X430ML,N.A.,N.A.,430
0101042A00,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,SUAVITEL VAINILLAX430MLX24U,N.A.,N.A.,430
0101042B01,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(10%) SUAVITEL VAINILLAX430ML,N.A.,N.A.,430
0101042B02,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(7%) SUAVITEL VAINILLAX430MLX24,N.A.,N.A.,430
0101042B03,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,EXP SUAVITEL VAINILLAX430MLX24U,N.A.,N.A.,430
0101042B04,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(3%) SUAVITEL VAINILLAX430MLX24U,N.A.,N.A.,430
0101042B05,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(11%) SUAVITEL VAINILLAX430MLX24U,N.A.,N.A.,430
0101042B06,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(BONF) SUAVITEL VAINILLAX430MLX24U,N.A.,N.A.,430
0101042B07,CO01620B,SUAVIZANTES,SUAVIZANTES,ESTANDAR,(P.E CAJA TAT) SUAVITEL VAINILLAX430ML,N.A.,N.A.,430
0101043A00,CO01923B,SUAVIZANTES,SUAVIZANTES,COMPLETE,SUAVITEL COMPLETE LAVANDAX400MLX24U,N.A.,N.A.,400
0101043B01,CO01923B,SUAVIZANTES,SUAVIZANTES,COMPLETE,(12%) SUAVITEL COMPLETE LAVANDAX400ML,N.A.,N.A.,400
0101043B02,CO01923B,SUAVIZANTES,SUAVIZANTES,COMPLETE,(10%) SUAVITEL COMPLETE LAVANDAX400MLX24U,N.A.,N.A.,400
0101043B03,CO01923B,SUAVIZANTES,SUAVIZANTES,COMPLETE,(3%) SUAVITEL COMPLETE LAVANDAX400MLX24U,N.A.,N.A.,400
0101043B04,CO01923B,SUAVIZANTES,SUAVIZANTES,COMPLETE,(11%) SUAVITEL COMPLETE LAVANDAX400MLX24U,N.A.,N.A.,400
0101044A00,61012620,SUAVIZANTES,SUAVIZANTES,NATURALS,SUAVITEL NATURALSX400MLX24U,N.A.,N.A.,400
0101044B01,61012620,SUAVIZANTES,SUAVIZANTES,NATURALS,(12%) SUAVITEL NATURALSX400ML,N.A.,N.A.,400
