codigo_erp,referencia,categoria_gestion,subcategoria_1_gestion,subcategoria_2_gestion,descripcion_guia,clasificacion_py,equivalencia_py,peso_neto
029109043,CO01257A,,,,(50%E) AXION CREMA ALOEX850GRX12U,,,
044040054,015000,,,,PLATO PEQ RUMBA PLATINUM X12PX8U,,,
069919,63106,,,,SUAV DERSA CAP MANZ/DURAZX180MLX48U BONIF,,,
052069045,P24 LL26,,,,P24 LL26 HUMEDO SURT (FELIX 85G +D/CHOW 100G) + RISTRA,,,
029112001,CO02076A,,,,(22.73%) OF 2AXION CREMA CARBONX450GRX12U P.E,,,
029185070,61012986,,,,TAT FABULOSO ALT CLORO ULT DESINF DPX200CCX72U,,,
90.01.01.029,90.01.01.029,,,,TOCINETA AHUMADA 500G,,,
50.11.11.001,50.11.11.001,,,,ROJO N° 5,,,
052111015,12371592,,,,LADRINA RECAS CACH CAR-CER-LECHX2KGX6U P.E,,,
029215002,CO01867A,,,,JABON PROTEX MEN SPORTX120GRX36DX2U,,,
029214007,CO01866A,,,,JABON PROTEX BAL/SALUDABLEX120GRX24DX3U,,,
029188,029188,,,,BONIF PLAN FACTURA TAT - $25.000 (SUAV 360 + AXION 130),,,
003460003,1030103107,,,,P2 LL3 GRANOLA GRANNY CHOCOLATE X300GX4OF,,,
074026,3004,,,,MAYONESA KRAFT OLIVE OIL 354MLX12U,,,
12.05.01.003,12.05.01.003,,,,N/A,,,
50.05.08.001,50.05.08.001,,,,METABISUFITO DE SODIO (OXILESS) *2KG TECNAS,,,
029351015,CO01537A,,,,SS ACTIVE CREAMX13.5GRX24D,,,
071210014,115690,,,,MM PÑ WINNY ULTSEC ET1X8DPX30U+TOAX20U GTS 01 LIMPIDO,,,
029258,CO01996B,,,,TALCO PROTEX ICYCOOLX140GR GTS PROTEX110GX12OF,,,
27.01.08.001,27.01.08.001,,,,AZUCAR BLANCA ZAFRA 50KG,,,
003016,737,,,,P8 FIDEO FINO PREMIUMX250GX3OF GTS 2 TORNILLO,,,
2843169B03,12459860,,,,BONIF PROPLAN EXIGENT RAZAPEQX16UX1KG,,,
018787200,018787200,,,,6 DETER LIQ LIMPIA YAX1000ML GTS 1 SUAVIZANTE DOYPACKX760ML ETERNA,,,
029353073,029353073,,,,PPK TAT 3 (2 SACHET BASE+CLINICAL) X9GRX18S GTS 02 SACHETON,,,
30.01.01.01,30.01.01.01,,,,LECHE EN POLVO ENTERA,,,
003013,1000044501,,,,CODO PREMIUN X250GRX24UN,,,
044028031,01000002,,,,P5 LL6 CJS VASOS OPAL TUCX10.OZX6CJSX50U,,,
052950005,052950005,,,,ACTIVIDADES EVACUACION JUNIO PS,,,
80.01.04.019,80.01.04.019,,,,CREMA DE LECHE LATA 295GR,,,
90.01.01.031,90.01.01.031,,,,JAMON COSTEÑO 250G,,,
12.05.01.002,12.05.01.002,,,,N/A,,,
029403101,61009991,,,,P.E TAT CDC TRIPLE ACCIONX60MLX72U,,,
044004,00100201,,,,VASO BCO DOMINGOX1.OZX72PX50U,,,
60.07.01.006,60.07.01.006,,,,FOIL 115.6 BSFYP 62,,,
50.16.01.002,50.16.01.002,,,,PREFORMA ENVACE 19 GR SMI COLOMBIA,,,
052068045,052068045,,,,MM  2 D/CHOW 350GR+2 GATSY 250GR GTS 1 D/CHOW 350 GR,,,
029182002,FCO22514A,,,,(10%) FABULOSO LAVANDA X500CCX24U,,,
052467004,052467004,,,,1 EXCELLENT ADUL R/MED GDE 17 KG GTS 2 EXCELLENT ADUL R/MED GDE 3KG,,,
80.01.04.014,80.01.04.014,,,,BOLSA LECHE COND SSHUP TRAD 15GX50,,,
029199001,61021558,,,,(13.70%) JABON PALM SANDIA & LYCHEEX120GRX72U,,,
029067039,CO02067A,,,,(12%) SUAVITEL COMPLETE F/PRIMAVERAX400MLX24U,,,
044013009,00700001,,,,P5 LL7 CJS VASO BCO TUCX7OZX7CJX50U,,,
1301001B04,735137,,,,1 VITA C MK TBMT NARANX500MG GTS ALCOHOL MK 120ML,,,
052920,PPK 10,,,,PPK 11 DOG CHOW 1KG (1CACHTAS+1HEMBRAS),,,
037005007,4949,,,,OF P.AA ENERGX2RX10U GTS SUAV 210ML,,,
1301013B02,734271,,,,4 KOLA MK KOLA DPACK 135G (10%),,,
3304005B04,702807327504,,,,TAT PG 6 FLIPS CHOCO AVELLANAS 120G GTS 1 FLIPS DULCE LECHE 120G,,,
052067003,12253597,,,,DOG CHOW ADU. R/PEQ BOLSAX2KGX6U,,,
0029999010,0029999010,,,,CONVENIO PRESTACION DE SERVICIO MES ENERO,,,
2801085A00,12380267,,,,FELIX PATÉ SALMON LATA X156GX24U,,,
006023013,21017,,,,BETUN#1 NEGROX12GRX12DX12U,,,
029354008,MX02659A,,,,DEO LSS COOL ORCHID SPRAY 91GX12U,,,
16.04.01.005,16.04.01.005,,,,BBQ  3100 G CLASICA NONA PEPA,,,
3437014B03,260103013,,,,10% P.E DULCE DE LECHE EDIC. NAVIDAD NONA PEPA 500GR X 12 UND,,,
9943093A00,15551000,,,,ESTUCHE COMPAS METALICO*1UND,,,
029194002,61012985,,,,(22.90%) FABULOSO ALT CLORO ULT DESINF SACHETX40MLX28DX12U,,,
052304900,11057205,,,,BONIF FANCY FEAST CASSEROLE CARNE X85GX24U,,,
70.11.01.004,70.11.01.004,,,,ETIQUETA  GLASSES BOLSA 4000 FRESA,,,
006006,01030,,,,BETUN PASTA BEISBOL #2 ROJOX30GRX72U,,,
019901,02973,,,,MORITAS RELLENASX14DX100U BONIF,,,
70.10.01.012,70.10.01.012,,,,ETIQUETA ACEITE 18000 ML PALMA NONA PEPA,,,
70.21.01.002,70.21.01.002,,,,ETIQUETA DULCE DE LECHE PANADERIA *25 kl,,,
1001021A00,1240,,,,DETER TOP XPERTX500GRX30U,,,
052491001,12343166,,,,(15%) DENTALIFE DOG SMALL BREEDX42GX7U,,,
071108002,645001,,,,(15%) CURAS CUREBAN VENDITAS STADX100U,,,
019024005,05174,,,,GOMAS PLAY MASCOTAS II X6DX50U,,,
70.12.02.004,70.12.02.004,,,,ETIQUETA TARTARA 3600,,,
029067017,CO01477A,,,,2 SUAVITEL ARO INT MANZ Y FRUTX2.9LX2U 10%,,,
044029,00900004,,,,VASOS OPAL DOM X9.OZX80DX25U,,,
70.21.01.001,70.21.01.001,,,,ETIQUETA DULCE DE LECHE PANADERIA *5000GR,,,
1622002B01,210005059,,,,BONIF BIANCHI CHOCOLATES 26D(45-90)G,,,
019019002,05483,,,,PLAY TROLLI SURT (NINJ-RAT-ANAC-MORG)X1DPX24U,,,
003257004,117,,,,P24 LL29 CORBATA MINI PREMIUMX250G,,,
3304045A00,3304045A00,,,,FLIPS DULCE LECHE 120GX14U,,,
016001,016001,,,,BONIF POR COMPRA DE ORIGAMI,,,
071265001,142663,,,,TOA WINNY RECIEN NACIDO X80T,,,
1328045A00,628527,,,,CLOROX ORIGINAL COJINX100MLX20DPX6U,,,
60.01.06.001,60.01.06.001,,,,ENVASE ACEITE PET 110 GM UNIPLAST SAS,,,
029213008,MX05330A,,,,JABON PROTEX PRO HIDR OLIVA PLX90GRX24DPX3U,,,
70.13.07.006,70.13.07.006,,,,ETIQUETA SALSA DE SOYA VAN SASON *170GR,,,
029111001,FCO88024,,,,OF 2AXION LIMONX500GX12OF PESP.,,,
1337028A00,302076,,,,MALLA BON BRIL MULTIUSOS X1DX2U,,,
066123001,802129,,,,COLORES PELIKAN TRIANGULAR LARG*24U,,,
003255001,1000140718,,,,(P.E) FIDEO FINO PREMIUMX250GX24U,,,
044049009,00107,,,,CUCHARA GDE BCA DOMINGOX10PX100U,,,
052925901,12370070,,,,BONIF FELIX SALMON 24UX85GR,,,
058541,4006530,,,,SOY PLUS RISTRA VAINILLAX30GRX24RX6U,,,
071440,541385,,,,LIMP LIQ M/USOS BON BRILLX900CCX12U,,,
029188041,029188041,,,,PPACK MM ($30.000) GTS 1 CDC 22ML,,,
071325,635437,,,,CLOROX ORIGX16U+P/CITRICAX8UX530MLX24U,,,
029178015,CO01793B,,,,FABULOSO LAVANDA DPACKX1500CCX8U,,,
017006,3601,,,,MARCADOR PERMANENTE AZULX16DX10U,,,
018371001,415000906,,,,CHUPO SILICONA MUNCHI MAGICAL B/ANCHA X6U,,,
80.01.03.030,80.01.03.030,,,,BEBIDA LACTEA LITRO FRUTOS ROJOS,,,
1619049A00,1619049A00,,,,BIANCHI CHOCOLATINA BLANCAX12DX12U,,,
037020014,4950,,,,OF 1 PILA AAA ENERGX1RX10U GTS FAB MANZ 200CC,,,
029109016,CO01970A,,,,AXION CREMA PODER/PLAST X450GX24U,,,
029185014,029185014,,,,PPK 4 TAT- P11 LL13 FABULOSO DPACKX200CC + 03 SACHET 40ML,,,
1313001B01,80046,,,,PPACK YODORA CREMA  TUBOX12GR,,,
60.01.05.013,60.01.05.013,,,,ENVASE MAYONESA PLASTICO OPACO GALON,,,
3401034B02,110402002,,,,3 MAYO 400 G GOURMET (10%),,,
029135016,MX05842A,,,,AXION LIQ COMPLETE PLASTICO 2.8LTX4U,,,
052421003,12232724,,,,PRO PLAN ADULT DOG COMPLETE 22.5KG 40%,,,
071245007,116655,,,,TAT - PÑ WINNY PANTS ET5X8DPX30U GTS 01 LIMPIDO,,,
70.14.01.002,70.14.01.002,,,,ETIQUETA STIKER SUPER OFERTA,,,
029353914,CO01606A,,,,CDC TRIPLE ACCIONX60MLX144U BONIF,,,
069024001,61621,,,,TOP ULTRA CON SUAVIZANTE X1000GRX20U,,,
60.03.04.032,60.03.04.032,,,,CORRUGADO TOMATE 400G -ANDINA,,,
029134028,CO01230A,,,,(16%) (P.E) AXION LIQUIDO LIMONX180MLX48U,,,
2831041A00,11050925,,,,FANCY FEAST TARTARE SALMOM/PESC X85GX24U,,,
90.01.01.009,90.01.01.009,,,,CHORIZO ROOSTER DUOPACK X 140,,,
00.00.01.011,00.00.01.011,,,,COSTO DISEÑO GRAFICO,,,
14.06.01.001,14.06.01.001,,,,ROSADA 3350 G CLASICA LOS PINOS BOLSA,,,
074021008,3000-1,,,,MAYO HEINZ 200G+KETCHUP HEINZ DP 190G P.EX12OF,,,
2210013B02,190902003,,,,3% P.E ACEITE DE PALMA NAPOLI 2000MLX6U,,,
029081004,029081004,,,,TAT P6 LL7 SUAVITEL FRESCA PRIMAVERAX360ML,,,
11.10.02.001,11.10.02.001,,,,MAYONESA INSUPERABLE PREMIUM 3350 GRM,,,
11.01.02.015,11.01.02.015,,,,MAYONESA GOURMET 450G -PROCESO,,,
1619077A00,310005833,,,,BIANCHI MULTIMARCA1 CAJA X6D X 12U,,,
071090005,802552,,,,SAL FRUT LUAX20+2+KOLAX4+IUFX4,,,
044028008,00500000,,,,VASOS OPAL TUCX5OZX60PX50U P.E,,,
2507017B03,01021608,,,,6 SARDINA TOMATE 155 GR P.E,,,
052950056,052950056,,,,ACTIVACION BONOS PROPLAN,,,
1310017B02,803333,,,,1 SUPERBONP12+3MAGNESIA120ML P.E,,,
1610153A00,1610153A00,,,,TRULULU SUPERPODEROSOSX12DX90G,,,
6 ATUN EN ACEITE 140GR P.,6 ATUN EN ACEITE 140GR P.,,,,BONIF ATUN SOBERANA ACEITE X140GRX48U,,,
029185034,CO01101A,,,,(19.10%) FABULOSO LAVANDA DPACKX200CCX72U,,,
003203021,12008,,,,SPAGUETTI ESPECIALIDADES X300GRX24UN P.E,,,
075205012,075205012,,,,TAT MM 2 HARINA AREPA1000KG+1 SARDINA TINAPA TOMATEX155,,,
052338003,12294316,,,,(13%) PRO PLAN ADUL CAT 7 X1KGX6U,,,
70.11.01.001,70.11.01.001,,,,ETIQUETA  GLASSES 500 FRESA,,,
052053003,052053003,,,,COMBO 7 - 06 DOG CHOW X350GX24U SURTIDO GRTS 01 GATSY 250,,,
26.01.01.006,26.01.01.006,,,,AREQUIPE ESPARCIBLE -REPOSTERIA 5000 GR NONA PEPA,,,
60.03.04.037,60.03.04.037,,,,CORRUGADO SALSA 165 G -ANDINA,,,
1631009A00,310007574,,,,BIANCHI COBERTURA BLANCAX16BX500G,,,
044028001,00700015,,,,VASOS OPAL TUCX7OZX120PX25U,,,
0103005B04,61000956,,,,(8%) AXION BARRA LIMONX300GRSX54U,,,
9913009A00,139366,,,,SIXPACK CORONA EXTRA LT 269ML,,,
029404028,FMXE11146A,,,,(5.30%) CDC TRIPLE ACCIONX22CCX144U,,,
003660007,1232072763,,,,P.E MAYONESA AMERICANA NAPOLI 450GRX12U,,,
60.01.04.055,60.01.04.055,,,,BOLSA ESTAMPADA MAYONESA ECONOMICA ALICO C97079,,,
075155,4214,,,,SARDINA TINAPA BCDO/MAR TOMATE 400GX48U,,,
016230,210002237/1800,,,,TRULULU RULETAX12DX12U,,,
019005006,03288,,,,PIN POP BUMBA GIG SURTDO 16DX24U P.E,,,
052302900,11051034,,,,BONIF FANCY FEAST RAGOUT ATUN X85GX24U,,,
016942,310004310,,,,RICATO COFFEX24DX100U BONIF,,,
029183009,CO01100A,,,,(15.80%) FABULOSO FLORAL DPACKX200CCX72U,,,
016318,210002904,,,,BIANCHI MANI MIX X8DX12U,,,
052999049,052999049,,,,PLAN RECOVERY ABRIL MAYO ,,,
074106001,2213,,,,MANI PLANTERS HONEY R/PEANUTS 49GRX6DPX18U (FC),,,
073010,1003006,,,,CEBOLLA EN POLVO BADIA 78GRX12U,,,
